Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Poliwrath (Shadow),92.3,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,8,7,3,50000
Zweilous,92.3,634,dark,dragon,121,109.2,140,1849588,31,1496,Dragon Breath,Body Slam,Dark Pulse,12,17,5,75000
Arctibax,92.1,997,dragon,ice,123.1,97.7,151,1815086,26.5,1499,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Dragonair (Shadow),92,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Body Slam,Aqua Tail,12,12,5,75000
Golbat (Shadow),92,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Clodsire,91.8,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Earthquake,Sludge Bomb,8,6,3,50000
Gliscor,91.8,472,ground,flying,115.7,143.9,116,1930695,21,1496,Wing Attack,Earthquake,Aerial Ace,9,5,5,75000
Lanturn,91.7,171,water,electric,104.8,104.8,194,2131348,27,1496,Water Gun,Surf,Thunderbolt,14,19,3,50000
Passimian,91.7,766,fighting,none,129.9,100.5,132,1723475,18.5,1496,Counter,Close Combat,Brick Break,7,5,3,75000
Dragonite,91.5,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Charizard,91.4,6,fire,flying,132.2,108.3,117,1674892,19,1488,Wing Attack,Blast Burn,Dragon Claw,7,5,3,10000
Charizard (Shadow),91.4,6,fire,flying,132.2,108.3,117,1674892,19,1488,Wing Attack,Blast Burn,Dragon Claw,7,5,3,10000
Quagsire,91.4,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Mud Bomb,Stone Edge,5,7,3,50000
Dragonair,91.2,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Aqua Tail,Body Slam,12,12,5,75000
Golbat,91.2,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Lurantis,91.2,754,grass,none,126.9,114.6,121,1760366,23.5,1495,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Charjabug,91.1,737,bug,electric,116.1,132.4,126,1936447,38,1500,Volt Switch,X-Scissor,Discharge,3,3,1,10000
Magnezone,91.1,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Poliwrath,91.1,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,8,7,3,50000
Abomasnow (Shadow),90.9,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Luxray,90.8,405,electric,none,138,99,118,1611912,19,1496,Spark,Wild Charge,Psychic Fangs,7,5,5,75000
Talonflame,90.8,663,fire,flying,122.1,114.7,131,1834291,25.5,1499,Incinerate,Fly,Flame Charge,3,3,1,10000
Flygon (Shadow),90.5,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Dragon Tail,Dragon Claw,Scorching Sands,4,6,5,75000
Skarmory,90.5,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,8,8,5,75000
Carbink,90.3,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Rock Slide,Moonblast,9,12,5,75000
Gogoat,90.3,673,grass,none,119.2,95,165,1867240,19.5,1492,Vine Whip,Leaf Blade,Brick Break,5,5,3,50000
Machamp,90.3,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Counter,Cross Chop,Rock Slide,5,7,3,50000
Sandslash (Alolan) (Shadow),90,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Azumarill,89.9,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Tropius,89.7,357,grass,flying,101.4,127.3,170,2195741,29,1494,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Marowak (Alolan) (Shadow),89.4,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Aurorus,89.3,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Sirfetch'd,89.3,865,fighting,none,145.9,107.4,98,1536689,18.5,1499,Counter,Leaf Blade,Night Slash,5,5,3,50000
Toxapex,89.3,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Umbreon,89.3,197,dark,none,90.2,177,155,2475791,27,1497,Snarl,Foul Play,Last Resort,4,5,5,75000
Dubwool,89.1,832,normal,none,111,141.7,128,2013564,26,1499,Double Kick,Body Slam,Payback,3,5,3,10000
Hitmontop,89.1,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Triple Axel,7,7,5,75000
Registeel,89.1,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Cradily (Shadow),89,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Slide,Grass Knot,4,4,3,50000
Chesnaught,88.8,652,grass,fighting,119.9,124.6,125,1868328,19,1498,Vine Whip,Frenzy Plant,Superpower,6,5,3,10000
Goodra,88.8,706,dragon,none,119.7,136.8,114,1866601,16,1497,Dragon Breath,Power Whip,Muddy Water,17,12,5,75000
Hitmontop (Shadow),88.8,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Triple Axel,7,7,5,75000
Sandslash (Alolan),88.8,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Wigglytuff,88.8,40,normal,fairy,115.8,75.5,220,1924765,29,1495,Charm,Icy Wind,Disarming Voice,8,8,1,10000
Trevenant,88.7,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,6,7,5,75000
Buzzwole,88.5,794,bug,fighting,129.3,112.7,119,1735016,16,1498,Counter,Superpower,Lunge,6,7,20,100000
Cradily,88.5,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Slide,Grass Knot,4,4,3,50000
Hakamo-o,88.5,783,dragon,fighting,115.5,134.8,124,1931380,36.5,1493,Dragon Tail,Dragon Claw,Brick Break,4,4,5,75000
Luxray (Shadow),88.5,405,electric,none,138,99,118,1611912,19,1496,Spark,Wild Charge,Psychic Fangs,7,5,5,75000
Mew,88.5,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Surf,6,5,20,100000
Skeledirge,88.5,911,fire,ghost,121.2,109.2,139,1839651,18.5,1496,Incinerate,Shadow Ball,Disarming Voice,3,3,3,10000
Swellow,88.5,277,normal,flying,136.7,98.6,121,1630044,29,1496,Wing Attack,Brave Bird,Aerial Ace,7,5,1,10000
Meganium,88.4,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Munchlax,88.4,446,normal,none,104,95.2,218,2158275,31,1499,Tackle,Body Slam,Bulldoze,12,20,5,10000
Abomasnow,87.9,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Icy Wind,Energy Ball,6,7,3,50000
Dragonite (Shadow),87.9,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Golisopod,87.9,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,X-Scissor,Liquidation,5,6,1,10000
Marowak (Alolan),87.9,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Sableye,87.8,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Return,6,9,5,75000
Salazzle,87.8,758,poison,fire,146.6,90.9,114,1518532,22,1492,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Greedent,87.6,820,normal,none,107.5,110.7,175,2083197,23.5,1498,Mud Shot,Body Slam,Trailblaze,4,6,1,10000
Stunfisk,87.6,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Diggersby,87.5,660,normal,ground,96.3,141.2,171,2324733,48,1496,Mud Shot,Scorching Sands,Hyper Beam,6,9,1,10000
Dragalge,87.5,691,poison,dragon,117.9,139.9,115,1895881,23.5,1496,Dragon Tail,Aqua Tail,Outrage,4,7,3,50000
Druddigon,87.5,621,dragon,none,131.4,110.5,117,1699459,20,1498,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Obstagoon,87.5,862,dark,normal,112.6,126.7,138,1969669,21,1494,Counter,Night Slash,Cross Chop,5,5,3,10000
Deoxys (Defense),87.3,386,psychic,none,101,221.5,98,2192628,23.5,1491,Counter,Psycho Boost,Thunderbolt,5,8,20,100000
Ninetales (Alolan),87.3,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,9,3,50000
Qwilfish (Hisuian),87.3,211,dark,poison,129.5,111.3,120,1729959,25.5,1497,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Victreebel (Shadow),87.3,71,grass,poison,135.8,94.8,128,1648364,23,1500,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Whimsicott,87.3,547,grass,fairy,118.4,133.1,119,1875239,27.5,1490,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Dewgong,87.1,87,water,ice,102.9,133.8,158,2174933,29,1500,Ice Shard,Icy Wind,Drill Run,5,5,3,50000
Ninetales (Alolan) (Shadow),87.1,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,9,3,50000
Skarmory (Shadow),87.1,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,8,8,5,75000
Venusaur,87.1,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Emolga,87,587,electric,flying,127.9,111.4,123,1752744,39,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Walrein,87,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Zapdos (Shadow),86.8,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Altaria,86.7,334,dragon,flying,103.4,153.3,136,2156405,28.5,1498,Dragon Breath,Sky Attack,Moonblast,17,20,1,10000
Gastrodon,86.7,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,7,3,50000
Latios (Shadow),86.7,381,dragon,psychic,138.4,112.9,103,1609480,14.5,1497,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Pachirisu,86.7,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Walrein (Shadow),86.7,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Conkeldurr,86.5,534,fighting,none,134.6,93.3,132,1657948,16.5,1495,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Politoed (Shadow),86.5,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Araquanid,86.4,752,water,bug,97.9,176.1,133,2292389,33.5,1499,Bug Bite,Bug Buzz,Bubble Beam,20,14,3,50000
Wobbuffet,86.4,202,psychic,none,63,101.7,333,2133829,50,1160,Counter,Return,Mirror Coat,10,8,3,50000
Marshtomp (Shadow),86.2,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Noctowl,86.2,164,normal,flying,105.3,120.2,167,2113724,28,1494,Wing Attack,Sky Attack,Shadow Ball,7,7,1,10000
Galvantula,85.9,596,bug,electric,139,93.8,124,1615746,25.5,1499,Volt Switch,Discharge,Lunge,3,3,3,50000
Ninetales,85.9,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Latios,85.8,381,dragon,psychic,138.4,112.9,103,1609480,14.5,1497,Dragon Breath,Dragon Claw,Luster Purge,12,20,20,100000
Overqwil,85.6,904,dark,poison,131.6,106.6,121,1696708,19,1498,Poison Jab,Aqua Tail,Shadow Ball,5,8,5,75000
Sealeo (Shadow),85.6,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Houndstone,85.5,972,ghost,none,121,131.2,117,1857323,22.5,1500,Lick,Psychic Fangs,Shadow Ball,12,19,3,50000
Steelix (Shadow),85.5,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Breaking Swipe,Earthquake,4,8,5,75000
Cofagrigus,85.3,563,ghost,none,112.2,168.3,106,2002086,25,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Machoke (Shadow),85.3,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Zapdos,85.3,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunder,5,7,20,100000
Gloom (Shadow),85.2,44,grass,poison,122.6,114.9,130,1830873,37.5,1500,Razor Leaf,Sludge Bomb,Petal Blizzard,13,17,3,50000
Jumpluff,85.2,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Acrobatics,Energy Ball,7,7,3,50000
Quilladin,85.2,651,grass,none,115.4,130,129,1935329,35.5,1495,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Regirock,85.2,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Graveler (Alolan) (Shadow),85,75,rock,electric,122.9,127.3,117,1831093,30,1500,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Hitmonchan (Shadow),85,107,fighting,none,128.2,137.3,98,1725104,23.5,1490,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Raichu,85,26,electric,none,133.6,110.6,113,1669771,25.5,1495,Volt Switch,Wild Charge,Trailblaze,3,4,1,10000
Shiftry (Shadow),85,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Steelix,85,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Breaking Swipe,Earthquake,4,8,5,75000
Toxicroak (Shadow),85,454,poison,fighting,136.6,91.5,131,1636876,22,1498,Counter,Mud Bomb,Shadow Ball,6,8,3,50000
Vileplume (Shadow),85,45,grass,poison,129.1,110.9,121,1732053,22,1498,Razor Leaf,Sludge Bomb,Moonblast,13,15,3,50000
Bastiodon,84.9,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Jumpluff (Shadow),84.9,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Energy Ball,Acrobatics,7,7,3,50000
Politoed,84.9,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Rufflet,84.9,627,normal,flying,126.3,91.1,153,1759870,46,1492,Wing Attack,Brave Bird,Fly,7,6,5,75000
Castform (Snowy),84.7,351,ice,none,113.4,119.6,146,1979669,38.5,1499,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Marshtomp,84.7,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Shiftry,84.7,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Tentacruel,84.7,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Poison Jab,Acid Spray,Scald,7,8,3,50000
Drapion (Shadow),84.6,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Crocalor,84.4,910,fire,none,119.8,106.3,146,1858803,28.5,1496,Incinerate,Crunch,Flamethrower,3,3,3,10000
Hypno,84.4,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Shadow Ball,Thunder Punch,5,4,3,50000
Litleo,84.4,667,fire,normal,121.1,106.1,143,1837354,49,1495,Incinerate,Flame Charge,Crunch,3,3,3,10000
Bewear,84.3,760,normal,fighting,130.4,85.6,154,1717970,18,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Dunsparce,84.3,206,normal,none,104.8,111,183,2127733,37.5,1496,Rollout,Drill Run,Rock Slide,4,4,3,50000
Miltank,84.3,241,normal,none,105.4,135.5,148,2112476,24,1494,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Regirock (Shadow),84.3,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Bruxish,84.1,779,water,psychic,137.3,100.4,118,1626064,23.5,1497,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Girafarig (Shadow),84.1,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Double Kick,Psychic Fangs,Thunderbolt,3,5,3,50000
Nidoqueen,84.1,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Jab,Earth Power,Poison Fang,8,6,3,50000
Roserade,84.1,407,grass,poison,143.1,114.9,95,1561844,18.5,1497,Bullet Seed,Weather Ball (Fire),Leaf Storm,3,5,3,50000
Wailmer (Shadow),84.1,320,water,none,117.4,68.3,239,1916533,48.5,1500,Water Gun,Scald,Body Slam,17,12,1,10000
Ferrothorn,84,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Fraxure,84,611,dragon,none,145.5,89.3,119,1545235,24.5,1499,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Haxorus,84,612,dragon,none,151.1,95.7,102,1475018,15,1496,Counter,Breaking Swipe,Surf,5,6,5,75000
Machoke,84,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Snorlax,84,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Gengar (Shadow),83.8,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Ball,Shadow Punch,7,5,3,50000
Golem (Alolan) (Shadow),83.8,76,rock,electric,125.2,121.7,117,1782513,19,1497,Volt Switch,Stone Edge,Rock Blast,4,3,1,10000
Sneasler (Shadow),83.7,903,fighting,poison,146,95.3,110,1529893,17,1495,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Tapu Fini,83.7,788,water,fairy,115.3,155.3,108,1934126,20,1498,Water Gun,Surf,Moonblast,14,20,20,100000
Toxicroak,83.7,454,poison,fighting,136.6,91.5,131,1636876,22,1498,Counter,Mud Bomb,Shadow Ball,6,8,3,50000
Castform (Rainy),83.5,351,water,none,113.4,119.6,146,1979669,38.5,1499,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Electivire,83.5,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Oinkologne (Female),83.5,916,normal,none,110.9,110.3,166,2029519,22.5,1500,Tackle,Body Slam,Dig,12,17,1,10000
Pangoro,83.5,675,fighting,dark,134.5,92,134,1658196,19,1496,Snarl,Close Combat,Night Slash,4,3,3,50000
Sableye (Shadow),83.5,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Power Gem,6,8,5,75000
Samurott,83.5,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Snorlax (Shadow),83.5,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Togetic,83.5,176,fairy,flying,110.6,150,122,2023327,37,1496,Fairy Wind,Aerial Ace,Dazzling Gleam,5,8,3,50000
Wailmer,83.5,320,water,none,117.4,68.3,239,1916533,48.5,1500,Water Gun,Scald,Body Slam,17,12,1,10000
Zangoose,83.5,335,normal,none,144.8,87.1,122,1539050,23,1494,Shadow Claw,Close Combat,Night Slash,6,5,3,50000
Bellossom,83.4,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Bullet Seed,Leaf Blade,Return,3,6,3,50000
Bellossom (Shadow),83.4,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Bullet Seed,Leaf Blade,Dazzling Gleam,3,6,3,50000
Sneasler,83.4,903,fighting,poison,146,95.3,110,1529893,17,1495,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Ampharos,83.2,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Thunder Punch,Trailblaze,3,4,5,75000
Galvantula (Shadow),83.2,596,bug,electric,139,93.8,124,1615746,25.5,1499,Volt Switch,Discharge,Lunge,3,3,3,50000
Gardevoir (Shadow),83.2,282,psychic,fairy,137.2,114.5,104,1633015,18,1498,Charm,Triple Axel,Shadow Ball,8,10,5,75000
Swalot,83.2,317,poison,none,104.1,123.4,168,2158208,28.5,1500,Mud Shot,Sludge Bomb,Ice Beam,6,7,1,10000
Vikavolt,83.2,738,bug,electric,146.4,94.4,111,1534869,17.5,1500,Volt Switch,X-Scissor,Fly,3,3,1,10000
Bastiodon (Shadow),83.1,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Bayleef (Shadow),83.1,153,grass,none,105.6,141.6,141,2107468,49.5,1494,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Ferrothorn (Shadow),83.1,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Frigibax,83.1,996,dragon,ice,125.2,84.9,149,1583298,50,1410,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Granbull (Shadow),83.1,210,fairy,none,135.3,87.7,139,1650182,22,1494,Charm,Close Combat,Crunch,8,8,3,50000
Heracross,83.1,214,bug,fighting,134.7,107.9,114,1655921,17.5,1497,Counter,Close Combat,Rock Blast,7,6,3,50000
Meganium (Shadow),83.1,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Baxcalibur,82.9,998,dragon,ice,136.2,96.2,125,1638843,15.5,1495,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Bellibolt,82.9,939,electric,none,115.1,107.7,156,1934288,21,1492,Thunder Shock,Discharge,Zap Cannon,5,9,1,50000
Forretress,82.9,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Grotle (Shadow),82.9,388,grass,none,118.3,116.1,138,1895093,30.5,1497,Razor Leaf,Body Slam,Energy Ball,9,14,3,10000
Grovyle,82.9,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Quick Attack,Leaf Blade,Aerial Ace,5,5,3,10000
Nidoqueen (Shadow),82.9,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Jab,Earth Power,Poison Fang,8,6,3,50000
